participant,n_sessions,acc_mean,acc_std,f1_mean,f1_rest_mean,f1_close_mean,f1_open_mean
patient42,5,0.7641025641025642,0.15007242510915533,0.7489180843763503,0.7644605340162625,0.8216177429079936,0.6606759762047947
patient43,4,0.6816239316239316,0.16941987764843647,0.6413575550243296,0.5971638655462185,0.7304112149857073,0.5964975845410628
patient44,6,0.9458689458689458,0.04446635445043115,0.9457045973551227,0.9783446889436815,0.9288791080948592,0.9298899950268268
patient45,4,0.594017094017094,0.24678022551229364,0.5441513599202391,0.6029717186864455,0.6578149532433419,0.3716674078309298
patient46,12,0.6552706552706553,0.15794981673387362,0.64069553782411,0.9308749701929,0.605354440578965,0.3858572027004654
patient47,7,0.7008547008547008,0.14704829516312182,0.6520220207693204,0.4384281004569697,0.6962107328222098,0.8214272290287815
patient48,3,0.7891737891737892,0.21080695992804474,0.7775768650036414,0.7549138232368046,0.8588357749783327,0.718980996795787
patient5,5,0.7846153846153847,0.11505175159291516,0.7473065425715366,0.9974683544303797,0.7613172629189073,0.4831340103653227
patient6,5,0.7521367521367521,0.12806259883565552,0.7366990366459836,0.9474683544303797,0.6796232095140733,0.5830055459934979
patient7,11,0.7529137529137528,0.1071247113573525,0.726167485666269,0.9425735472930128,0.7322083516321022,0.503720558073692
patient8,3,0.7977207977207978,0.12217539397374114,0.7713776866408445,0.9866666666666667,0.7668603326498064,0.5606060606060607
patient9,7,0.7704517704517705,0.10332441024683775,0.7553916605771791,0.9913941480206541,0.7188045856077696,0.5559762481031137
